序号,单词,释义
223,any,adj.什么一些任何的adv.稍一丁点pron.任何
224,anybody,n.重要人物pron.任何人
225,anyhow,adv.无论如何不管怎样
226,anyone,pron.任何人
227,anything,pron.任何事物一切
228,anyway,adv.无论如何不管怎样
229,anywhere,adv.在什么地方任何地方n.任何(一个)地方
230,apart,adv.相隔分开除去分别地有区别地adj.分开的分离的
231,apartment,n.一套公寓房间
232,apologize,vi.道歉谢罪认错
233,apology,n.道歉认错谢罪勉强的替代物
234,apparatus,n.装置器具器械仪器器官机构组织
235,apparent,adj.表面上的明显的
236,appeal,n.呼吁申述恳求上诉吸引力诉诸裁决vi.求助诉请呼吁申述吸引
237,appear,vi.出现来到抵达似乎显得出版
238,appearance,n.出现出场来到外观
239,appendix,n.附录，附属物；阑尾
240,appetite,n.食欲胃口欲望嗜好
241,applaud,vt.喝彩；欢呼vi.欢呼
242,apple,n.苹果苹果树
243,appliance,n.用具器具器械装置应用
244,applicable,adj.能应用的适当的合适的
245,application,n.应用请求申请专心施用应用软件程序
246,apply,vt.应用实施使用涂使专心从事vi.申请有关联
247,appoint,vt.任命委任约定指定预约装饰vi.行使任命权
248,appointment,n.任命约定约会预约委派官职设备
249,appraisal,"n. 评价,估价,鉴定"
250,appreciable,a.可估价的；可察觉的
251,appreciate,vt.欣赏感激赏识领会充分意识感谢vi.增值
252,apprehension,"n. 理解,忧惧,逮捕"
253,approach,n.接近途径方法vt.向...靠近靠近接近动手处理
254,appropriate,adj.适当的恰当的相称的vt.拨出(款项)占用
255,approval,n.赞成同意批准认可
256,approve,vt.赞成称许批准核准证实vi.赞同
257,approximate,adj.近似的大约的vt.近似接近约等于
258,approximately,adv.近似地大约
259,April,n.四月
260,apt,a.恰当的；聪明的
261,Arabian,adj.阿拉伯(人)的n.阿拉伯人
262,arbitrary,adj.随心所欲的专断的任意的专制的武断的霸道的
263,arc,n.弧，弓形物；弧光
264,arch,n.拱门 vt.用拱连接
265,architect,n.建筑师；创造者
266,architecture,n.建筑学建筑式样建筑业建筑物结构
267,arctic,a.北极的 n.北极
268,area,n.面积地区区域领域方面
269,argue,vt.争论辩论争吵劝说表明vi.提出理由争论争辩辩论
270,argument,n.争论辩论理由论点(据)
271,arise,vi.出现由...引起上升
272,arithmetic,n.算术四则运算
273,arm,n.手臂臂状物武器港湾狭长地带扶手袖子vt.装备准备(炸弹)vi.武装自己
274,army,n.军队陆军大群
275,around,adj.大约在现存范围内adv.大约到处在周围prep.在...周围在...附近到处
276,arouse,vt.引起唤起唤醒激发激起vi.唤醒
277,arrange,vt.筹备整理调解安排计划改编(乐曲)vi.协商计划
278,arrangement,n.整理排列安排商议
279,array,vt.装扮 n.队列；排列
280,arrest,n.逮捕监禁vt.逮捕拘留阻止妨碍吸引
281,arrival,n.到达到来到达者
282,arrive,vi.到达来临达到成功
283,arrow,n.箭箭头箭状物vi.快且笔直的前进有如穿梭的箭
284,art,adj.美术(品)的艺术(品)的n.艺术美术技术阴谋
285,article,n.文章条款物品冠词vt.定契约
286,articulate,a. 发音清晰的，听得懂的
287,artificial,adj.人工的人造的虚伪的武断的娇揉造作的
288,artist,n.艺术家美术家艺人
289,artistic,adj.艺术的艺术家的
290,as,adv.同样地像prep.当做conj.当...的时候像...一样因为
291,ascend,vi.攀登，登高；追溯
292,ascertain,vt.查明，确定，弄清
293,ascribe,vt.把…归于
294,ash,n.灰灰烬灰末骨灰
295,ashamed,adj.惭愧(的)羞耻(的)感到惭愧感到害臊因为羞耻或勉强作某事
296,Asia,n.亚洲
297,Asian,adj.亚洲的n.亚洲人
298,aside,n.旁白顺便说的话adv.在旁边到旁边在一边另外离开
299,ask,vt.问询问要求邀请请求开价vi.询问恳求
300,asleep,adj.睡着的睡熟的已死的不活跃的麻木的adv.处于或进入睡眠状态地陷入麻木不仁状态地
301,aspect,n.方面样子外表外貌外观方位方向
302,assault,vt.袭击；殴打 n.攻击
303,assemble,vt.集合召集装配vi.集合聚集
304,assembly,n.集合集会装配
305,assert,vt.断言，宣称；维护
306,assess,vt.对(财产等)估价估定评定
307,asset,"n. 资产,有用的东西"
308,assign,vt.指派分配指定转让n.受让人
309,assignment,n.分配功课任务被指定的(课外)作业委派
310,assimilate,"vt. 使同化,吸收,比较"
311,assist,vt.援助帮助协助的器械搀扶vt.帮助协助vi.帮助协助出席
312,assistant,n.助手助理助教adj.副的
313,associate,vt.联合联想vi.交往加入陪同n.伙伴同事合伙人准学士学位获得者adj.副的有联系的共事的
314,association,n.协会团体社团联合结合交往联想
315,assume,vt.假定设想承担呈现(想当然的)认为
316,assumption,n.采取；假定；傲慢
317,assurance,n.保证；财产转让书
318,assure,vt.使确信向...保证保险保证确信担保
319,astonish,vt.使惊讶使吃惊
320,astronaut,n.宇宙航行员宇航员
321,astronomy,n.天文学
322,at,prep.在...里在...时
323,athlete,n.运动员；田径运动员
324,Atlantic,adj.大西洋的n.大西洋
325,atmosphere,n.大气空气气氛格调情趣气压
326,atmospheric,adj.大气的大气层的制造气氛的
327,atom,n.原子微粒微量
328,atomic,adj.原子的原子能的
329,attach,vt.缚系贴附加使依恋
330,attack,n.攻击评击vt.攻击动手疾病发作vi.发动攻击adj.有计划的攻击
331,attain,vt.达到获得完成
332,attempt,vt.尝试试图n.企图
333,attend,vt.出席照顾护理照料参加注意vi.专心留意待命
334,attendance,n.到场；出席人数
335,attendant,n.侍者；护理人员
336,attention,n.注意(力)留心关心立正
337,attentive,adj.注意的留意的有礼貌的
338,attitude,n.态度看法姿势
339,attorney,n.代理人；辩护律师
340,attract,vt.吸引引起诱惑有吸引力
341,attraction,n.吸引吸引力有吸引力的人或事物引力
342,attractive,adj.有吸引力的引起注意的
343,attribute,vt.把...归因于属于n.属性特征标志象征
344,audience,n.听众观众读者拥护者倾听正式会见
345,augment,"vt.vi.n. 增加,增大"
346,August,n.八月(大写时）adj.威严的尊严的(小写时）
347,aunt,n.伯母婶母姑母姨
348,aural,adj.耳的听觉的
349,Australia,n.澳大利亚
350,Australian,adj.澳大利亚的n.澳大利亚人
351,authentic,"a. 真实的,可靠的,可信的"
352,author,n.作者作家创造者vt.创造写作
353,authoritative,"a. 权威的,有权威的,命令式的"
354,authority,n.当局官方权力权威专家权威人士依据
355,authorize,"vt. 授权与,批准,委托代替"
356,auto,n.(口语)汽车autos=automobile 自动汽车pref.自动的自己的
357,automatic,adj.自动的机械的半自动化的n.自动装置半自动武器
358,automation,n.自动，自动化
359,automobile,n.汽车机动车adj.汽车的
360,autonomy,n. 自治
361,autumn,n.秋秋季秋天
362,auxiliary,n.帮助者辅助物助动词adj.辅助的附属的附加的
363,avail,vt.有益于 n.效用
364,available,adj.可利用的可得到的有用的有效的通用的
365,avenue,n.林荫道道路大街途径手段
366,average,n.平均数平均水平adj.平均的一般的通常的v.取平均值达到平均水平
367,avert,"vt. 转开,避免,防止"
368,aviation,n.飞行
369,avoid,vt.避免躲开逃避撤消
370,await,vt.等候期待准备...以待储存vi.等待
371,awake,adj.醒着的警惕的vt.唤醒唤起激发vi.醒来恢复意识
372,award,n.奖奖品判定vi.授予给予vt.授予
373,aware,adj.知道的意识到的
374,away,adv.离开远离出去连续的遥远地...去adj.远离
375,awful,adj.令人不愉快的可怕的畏惧的充满敬畏的艰难的adv.极其
376,awfully,adv.令人畏惧的很可怕地非常地极端地
377,awkward,adj.笨拙的尴尬的
378,ax,n.斧子（吉他或者萨克斯风类的）乐器vt.用斧砍削减abbr.=(axiomaxis)
379,axis,n.轴，轴线；第二颈椎
380,B.C.,(缩)公元前
381,baby,adj.(形容用法)婴儿的过小的n.婴儿孩子气的人象婴儿的人需特殊关心的事物vt.溺爱过度关心
382,bachelor,n.未婚男子；学士
383,back,adj.后面的偏远的过时的积欠的向后的adv.在后回原处回向后地n.后背背脊后面靠背vt.后退支持vi.后退
384,background,n.背景后景经历幕后配音vt.提供背景
385,backward,adj.向后的倒的adv.倒向后
386,bacteria,n.(复数)细菌
387,bad,adj.坏的恶的严重的令人不满意的有害的有病的n.坏人坏事
388,badge,n.徽章，像章；标志
389,badly,adv.坏差严重地恶劣地极度地
390,badminton,n.羽毛球
391,baffle,vt.使挫折 n.迷惑
392,bag,n.袋包钱包背包猎获物vt.鼓起把...装入袋中猎杀占有vi.鼓起宽松地下垂或悬吊
393,baggage,n.行李
394,bake,vt.烤烘焙烧硬vi.烘焙烤变得炎热n.烘焙烤
395,balance,vt.使平衡称称重量权衡抵消vi.建立平衡均衡n.天平平衡差额平静调和制衡
396,bald,a.秃头的；无毛的
397,ball,n.球球状物舞会v.(把...捏)成球状
398,ballet,n.芭蕾舞；舞剧
399,balloon,n.气球玩具气球vt.使膨胀vi.如气球般膨胀激增adj.气球状的
400,ban,"n. 禁令 vt. 禁止,取缔"
401,banana,n.香蕉芭蕉属植物
402,band,n.乐队带波段箍队v.联合结合
403,bandage,n.绷带，包带
404,bang,n.(突然)巨响枪声猛击重击刘海vt.重击大声敲剪成刘海vi.大声敲击发出巨响adv.正好地准确地
405,bank,n.银行库岩堤vt.堆积vi.开户把...存入银行
406,bankrupt,a.破产的 vt.使破产
407,banner,n.旗旗帜横幅大标题adj.特别好的杰出的vt.用横幅装饰以大标题报道
408,bar,n.酒吧间条杆栅条棒横木vt.禁止阻挠
409,barber,n.理发师
410,bare,adj.赤裸的显露的极少的仅仅的vt.使赤裸露出
411,barely,ad.仅仅，勉强
412,bargain,n.交易买卖物美价廉的东西vi.议价成交vt.议价交易
413,bark,n.吠叫声狗叫咆哮厉声说话树皮小帆船vi.吠叫吠叫咆哮急促地说
414,barn,n.谷仓牲口棚
415,barrel,n.桶圆筒枪管炮管笔管一桶的量大量汽油桶vi.快速移动vt.把...装桶
416,barren,a.贫瘠的；不妊的
417,barrier,n.栅栏屏障障碍障碍物界线
418,base,n.基础底层基地（支持、收入、力量等的）基础vt.以...作基础adj.卑鄙的不道德的
419,basement,n.地下室；地窖；底层
420,basic,n.基本实质性的东西基础训练[计]BASIC语言基本高级语言adj.基本的基础的含硅量少的
421,basically,adv.基本上主要地
422,basin,n.盆洗脸盆盆地流域水池
423,basis,n.基础根据主要成分
424,basket,n.篮篓筐<篮>篮球筐得分
425,basketball,n.篮球篮球运动
426,bat,n.球拍短棍棒击打蝙蝠v.用棒击打[计算机]DOS文件名：批文件
427,batch,"n. 一组,分批,成批,批"
428,bath,n.浴洗澡洗澡水浴缸浴室财政亏损(复)游泳池n.(Bath)巴斯(英国城市)v.洗澡
429,bathe,vt.给...洗澡弄湿沐浴用水洗沉浸
430,bathroom,n.浴室盥洗室
431,battery,n.电池一套一组一系列排炮
432,battle,n.战役斗争争论vi.与...作战与...斗争
433,bay,adj.红棕色n.湾海湾山脉中的凹处红棕色隔间配电间犬吠围困月桂树名望vi.嗥叫vt.吼叫着追赶或进攻哀号把...围困住
434,be,aux.v. &vi.是在做有
435,beach,n.海滩湖滩河滩vt.拖(船)上岸
436,beam,n.梁横梁束柱光线电波容光焕发vt.闪亮为...上梁vi.微笑发光
437,bean,n.豆蚕豆
438,bear,n.熊粗鲁的人vt.忍受负荷结果实生子女
439,beard,n.胡须络腮胡子vt.抓住胡须公开反对
440,bearing,n.支承；忍受；方位
441,beast,n.兽野兽牲畜凶残的人令人厌憎的人
442,beat,n.打敲打声拍子独家报道一会儿vt. &vi.打敲打败
443,beautiful,adj.美的美丽的漂亮的
444,beauty,n.美美丽美人美的东西
445,because,conj.由于因为
446,become,vt.变得vi.存在变成成为变得经历改变或发展
447,bed,n.床床位圃河床底层基座vt.铺床去睡觉安置发生性关系vi.铺床去睡觉铺层躺平
448,bee,n.蜂密蜂忙碌的人
449,beef,n.牛肉菜牛v.抱怨诉苦
450,beer,n.啤酒
451,before,adj. &adv.以前在...之前prep. &conj.在...以前向...
452,beforehand,ad.预先；提前地
453,beg,vt.乞讨恳求合理需要vi.行乞乞求abbr.(begin)的缩写开始
454,beggar,n.乞丐穷人<非正式>人家伙vt.使贫穷使不足使不能
455,begin,vi.开始起初是vt.开始意欲作出某事
456,beginner,n.初学者生手
457,beginning,n.开始开端起源早期adj.刚开始的动词begin的现在分词
458,behalf,n.利益维护支持
459,behave,vi.表现举止行为举止端正运转
460,behavior,n.行为举止态度
461,behind,adv.在后面落后迟地adj.后面的落后的迟的慢的prep.在...后面落后于掩盖基于支持n.屁股
462,being,n.存在生物生命人vi.存在处于举行去或来是adj.现在的目前的
463,belief,n.信任相信信念信仰
464,believe,vt.相信认为
465,bell,n.钟铃门铃钟声花冠吼叫声vt.敲钟使象钟状地张开vi.使呈钟状张开
466,belong,vi.属于附属适合于
467,beloved,adj.为...的爱的心爱的n.爱人
468,below,adv.在下面向下下级prep.在...下面(以下)(级别、重要性)低于adj.在...下面n.下面的东西
469,belt,n.带(状物)腰带皮带区vi.飞奔大声唱vt.系上腰带环绕击打大声唱
470,bench,n.长凳条凳工作台梯田vt.坐在长凳上放置长凳在展览会上展览vi.形成梯田
471,bend,vt.使弯曲vi.弯曲屈服n.弯曲(物)弯道
472,beneath,adv.在下方prep.在...下方在...之下
473,beneficial,adj.有利的有益的
474,benefit,n.利益恩惠津贴义卖义演vt.有益于vi.得益
475,berry,n.浆果(如草莓等) 
476,beside,prep.在...旁边与…相比
477,besides,adv.而且也此外prep.除...之外adj.别的
478,best,adj.最好的最大的adv.最最好地n.最好的人(或物)vt.胜于
479,bet,n.打赌赌注最大的可能vi.下注vt.打赌
480,betray,vt.背叛；辜负；泄漏
481,better,adj.较好的更好的adv.更好地v.使...更好超越n.更好的事物
482,between,adv.在中间prep.在...中间
483,bewilder,vt.迷惑，把…弄糊涂
484,beyond,adv.在更远处另外n.远处来世prep.在...的那边超出越过另外
485,bias,"n. 偏见,偏袒,斜线 vt.使有偏见"
486,Bible,n.基督教《圣经》有权威的书
487,bibliography,n. 参考书目
488,bicycle,n.自行车脚踏车v.骑自行车
489,bid,"n. 出价vt.vi. 命令,吩咐,投标"
490,big,adj.大的巨大的重要的adv.以郑重的方式大数量n.杰出的组织和个人
491,bike,n.自行车vi.骑自行车
492,bill,n.比尔(男名)账单钞票招贴票据清单议案法案广告鸟嘴喙vt.开帐单用海报宣传把...列成表
493,billion,num.(英)万亿(美)十亿n.大量adj.大量的
494,bind,n.窘境vt.捆绑包扎装钉约束约束
495,biography,n. 传记
496,biology,n.生物学生态学
497,bird,n.鸟家禽陶土飞靶伙伴vi.观察或辨认鸟
498,birth,n.分娩出生诞生出身血统出现起源
499,birthday,n.生日诞生的日期
500,biscuit,n.(英)饼干(美)软饼姜黄褐色
501,bit,n.一点少量一些小片钻头马嚼子辅币位比特(二进位制信息单位)vt.控制
502,bite,n.咬一口少量食物咬伤的伤口vt.咬叮螫剌穿vi.咬(饵)使剧痛紧抓
503,bitter,adj.苦的痛苦的剧烈的严寒的n.苦久苦涩苦的东西vt.使...变苦adv.激烈地极其
504,bitterly,adv.苦苦地悲痛地怨恨地残酷地
505,bizarre,a. 奇异的
506,black,adj.黑的暗的穿黑衣服的脏的邪恶的阴沉的机密的n.黑色东西黑色黑人(棋类)黑子v.(使)变黑抹黑
507,blackboard,n.黑板
508,blade,n.刀刃刀片叶片刀锋
509,blame,n.过失责备vt.责备把...归咎于
510,blank,adj. 空白的茫然的全部的面无表情的未完工的n. 空白(处)空隙空虚(有弹药而无弹头的)空弹vi.  消失走神vt. 使模糊不清删除封闭(比赛时连续得分)使对手得零分
511,blanket,n.毛毯羊毛毯覆盖物排字版vt.用毯子裹扑灭挡风覆盖使包含adj.包含所有的适用于所有情形的
512,blast,n.爆炸冲击波气流一阵汽笛声vi.爆破突然发出声音vt.喷射炸掉
513,blaze,n.火；闪光 vi.燃烧
514,bleak,"a. 萧瑟的,苍白的,荒凉的"
515,bleed,vi.出血流血泌脂(为事业祖国)负伤或牺性(花草﹑树木等)流出汁液出大笔钱vt.放血勒索钱财大大削弱使...流血n.印刷到纸边上去漏出
516,blend,vt. &vi.混合n.混合物
517,bless,vt.为...祝福赐福祈佑称颂上帝使神圣赋予
518,blind,adj.瞎的盲目的未察觉的n.百叶窗幌子vt.使失明隐藏adv.盲目地
519,block,n.街区木块石块阻塞(物)障碍(物) vt.堵塞拦阻
520,blood,n.血血液血统仇恨vt.流血
521,bloom,n.花开花开花期钢块兴旺vt.使...开花vi.开花变得健康
522,blossom,n.花，开花 vi.开花
523,blow,vi.吹吹动吹响打击殴打v.吹风吹擤（鼻子）【口】浪费（机会）
524,blue,adj.蓝色的沮丧的忧郁的(女人)有学问的n.蓝色vt.使...变蓝vi.变蓝
525,blunder,vi.犯大错 n.大错
526,blunt,"a. 钝的,坦率的,麻痹的"
527,blush,vi.脸红，害臊 n.脸红
528,board,n. 板木板甲板董事会伙食舞台演员的职业船舷vt.   上(飞机、船、车等)  有偿提供食宿用木板覆盖vi.搭伙
529,boast,n.吹牛vi.吹牛自夸vt.吹牛吹嘘
530,boat,n.小船艇渔船船型物体vt.放于船上vi.划船
531,body,n.身体人主体尸体正文vt.赋予形体体现
532,boil,n.皮下脓肿沸腾vi.沸腾汽化vt.煮沸
533,bold,adj.大胆的冒失的粗体的醒目的无礼的陡峭的
534,bolt,n.螺栓螺钉插销门闩突发剑弩闪电vt.闩门闩住用螺栓固定在一起狼吞虎咽vi.冲出去急逃adv.背部挺直地坐或站
535,bomb,n.炸弹高压罐火山口喷出的熔岩vt.轰炸大败长传vi.失败
536,bond,n.联结联系结合公债债券粘结剂粘合剂
